"Kategori","Sub Kategori","Nama_Barang","NIBAR"," Nomor Register","Spesifikasi Nama Barang","Spesifikasi Lainnya","","Merek/tipe","Lokasi","Nomor Polisi","Nomor Rangka","Nomor Mesin","Nomor BPKB","Jumlah","Satuan","","Harga Satuan Perolehan Rp.","Nilai Perolehan Rp.","Cara Perolehan","Tanggal  Perolehan","Status Penggunaan","","Keterangan","","No. BAST","Pengguna","Bidang","Link","Masa berlaku Pajak","Masa berlaku STNK","Ket"
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020141321001020010000008","1101001135000000000000020141321001020010000008","P.C Unit","    ","","Merk: Lenovo / C560 Intelcore Tmi54570 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","14,500,000.00","14,500,000.00","Pengadaan APBD","12/31/2014","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","PC unit","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020141321001020010000009","1101001135000000000000020141321001020010000009","P.C Unit","    ","","Merk: Lenovo / C560 Intelcore Tmi54570 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","14,500,000.00","14,500,000.00","Pengadaan APBD","12/31/2014","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","PC unit","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020141321001020010000010","1101001135000000000000020141321001020010000010","P.C Unit","    ","","Merk: Lenovo / C560 Intelcore Tmi54570 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","14,500,000.00","14,500,000.00","Pengadaan APBD","12/31/2014","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","PC unit","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020141321001020010000011","1101001135000000000000020141321001020010000011","P.C Unit","    ","","Merk: Lenovo / C560 Intelcore Tmi54570 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","14,500,000.00","14,500,000.00","Pengadaan APBD","12/31/2014","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","PC unit","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020141321001020010000012","1101001135000000000000020141321001020010000012","P.C Unit","    ","","Merk: Lenovo / C560 Intelcore Tmi54570 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","14,500,000.00","14,500,000.00","Pengadaan APBD","12/31/2014","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","PC unit","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020141321001020010000013","1101001135000000000000020141321001020010000013","P.C Unit","    ","","Merk: Lenovo / C560 Intelcore Tmi54570 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","14,500,000.00","14,500,000.00","Pengadaan APBD","12/31/2014","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","PC unit","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020141321001020010000014","1101001135000000000000020141321001020010000014","P.C Unit","    ","","Merk: Lenovo / C560 Intelcore Tmi54570 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","14,500,000.00","14,500,000.00","Pengadaan APBD","12/31/2014","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","PC unit","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020141321001020010000015","1101001135000000000000020141321001020010000015","P.C Unit","    ","","Merk: Lenovo / C560 Intelcore Tmi54570 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","14,500,000.00","14,500,000.00","Pengadaan APBD","12/31/2014","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","PC unit","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020141321001020010000016","1101001135000000000000020141321001020010000016","P.C Unit","    ","","Merk: Lenovo / C560 Intelcore Tmi54570 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","14,500,000.00","14,500,000.00","Pengadaan APBD","12/31/2014","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","PC unit","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020141321001020010000017","1101001135000000000000020141321001020010000017","P.C Unit","    ","","Merk: Lenovo / C560 Intelcore Tmi54570 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","14,500,000.00","14,500,000.00","Pengadaan APBD","12/31/2014","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","PC unit","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020141321001020010000018","1101001135000000000000020141321001020010000018","P.C Unit","    ","","Merk: Lenovo / C560 Intelcore Tmi54570 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","14,500,000.00","14,500,000.00","Pengadaan APBD","12/31/2014","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","PC unit","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020151321001020010000001","1101001135000000000000020151321001020010000001","P.C Unit","    ","","Merk: HP Pavilion 23-G135X All in one ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","13,700,000.00","13,700,000.00","Pengadaan APBD","12/31/2015","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020151321001020010000002","1101001135000000000000020151321001020010000002","P.C Unit","    ","","Merk: HP Pavilion 23-G135X All in one ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","13,700,000.00","13,700,000.00","Pengadaan APBD","12/31/2015","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020151321001020010000003","1101001135000000000000020151321001020010000003","P.C Unit","    ","","Merk: HP Pavilion 23-G135X All in one ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","13,700,000.00","13,700,000.00","Pengadaan APBD","12/31/2015","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020151321001020010000004","1101001135000000000000020151321001020010000004","P.C Unit","    ","","Merk: HP Pavilion 23-G135X All in one ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","13,700,000.00","13,700,000.00","Pengadaan APBD","12/31/2015","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020151321001020010000005","1101001135000000000000020151321001020010000005","P.C Unit","    ","","Merk: HP Pavilion 23-G135X All in one ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","13,700,000.00","13,700,000.00","Pengadaan APBD","12/31/2015","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020151321001020010000006","1101001135000000000000020151321001020010000006","P.C Unit","    ","","Merk: HP Pavilion 23-G135X All in one ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","13,700,000.00","13,700,000.00","Pengadaan APBD","12/31/2015","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020151321001020010000007","1101001135000000000000020151321001020010000007","P.C Unit","    ","","Merk: HP Pavilion 23-G135X All in one ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","13,700,000.00","13,700,000.00","Pengadaan APBD","12/31/2015","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020151321001020010000008","1101001135000000000000020151321001020010000008","P.C Unit","    ","","Merk: HP Pavilion 23-G135X All in one ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","13,700,000.00","13,700,000.00","Pengadaan APBD","12/31/2015","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020151321001020010000009","1101001135000000000000020151321001020010000009","P.C Unit","    ","","Merk: HP Pavilion 23-G135X All in one ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","13,700,000.00","13,700,000.00","Pengadaan APBD","12/31/2015","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020151321001020010000010","1101001135000000000000020151321001020010000010","P.C Unit","    ","","Merk: HP Pavilion 23-G135X All in one ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","13,700,000.00","13,700,000.00","Pengadaan APBD","12/31/2015","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020151321001020010000011","1101001135000000000000020151321001020010000011","P.C Unit","    ","","Merk: HP Pavilion 23-G135X All in one ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","13,700,000.00","13,700,000.00","Pengadaan APBD","12/31/2015","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020151321001020010000012","1101001135000000000000020151321001020010000012","P.C Unit","    ","","Merk: HP Pavilion 23-G135X All in one ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","13,700,000.00","13,700,000.00","Pengadaan APBD","12/31/2015","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020151321001020010000013","1101001135000000000000020151321001020010000013","P.C Unit","    ","","Merk: HP Pavilion 23-G135X All in one ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","13,700,000.00","13,700,000.00","Pengadaan APBD","12/31/2015","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020161321001020010000001","1101001135000000000000020161321001020010000001","P.C Unit","    ","","Merk: HP / Slimeline 450-123D ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","15,840,000.00","15,840,000.00","Pengadaan APBD","12/31/2016","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020161321001020010000002","1101001135000000000000020161321001020010000002","P.C Unit","    ","","Merk: HP / Slimeline 450-123D ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","15,840,000.00","15,840,000.00","Pengadaan APBD","12/31/2016","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020161321001020010000003","1101001135000000000000020161321001020010000003","P.C Unit","    ","","Merk: HP / Slimeline 450-123D ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","15,840,000.00","15,840,000.00","Pengadaan APBD","12/31/2016","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020161321001020010000004","1101001135000000000000020161321001020010000004","P.C Unit","    ","","Merk: HP / Slimeline 450-123D ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","15,840,000.00","15,840,000.00","Pengadaan APBD","12/31/2016","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020161321001020010000005","1101001135000000000000020161321001020010000005","P.C Unit","    ","","Merk: HP / Slimeline 450-123D ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","15,840,000.00","15,840,000.00","Pengadaan APBD","12/31/2016","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020161321001020010000006","1101001135000000000000020161321001020010000006","P.C Unit","    ","","Merk: HP / Slimeline 450-123D ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","15,840,000.00","15,840,000.00","Pengadaan APBD","12/31/2016","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020161321001020010000007","1101001135000000000000020161321001020010000007","P.C Unit","    ","","Merk: HP / Slimeline 450-123D ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","15,840,000.00","15,840,000.00","Pengadaan APBD","12/31/2016","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020161321001020010000008","1101001135000000000000020161321001020010000008","P.C Unit","    ","","Merk: HP / Slimeline 450-123D ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","15,840,000.00","15,840,000.00","Pengadaan APBD","12/31/2016","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020161321001020010000009","1101001135000000000000020161321001020010000009","P.C Unit","    ","","Merk: HP / Slimeline 450-123D ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","15,840,000.00","15,840,000.00","Pengadaan APBD","12/31/2016","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020161321001020010000010","1101001135000000000000020161321001020010000010","P.C Unit","    ","","Merk: HP / Slimeline 450-123D ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","15,840,000.00","15,840,000.00","Pengadaan APBD","12/31/2016","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020161321001020010000011","1101001135000000000000020161321001020010000011","P.C Unit","    ","","Merk: HP / Slimeline 450-123D ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","15,840,000.00","15,840,000.00","Pengadaan APBD","12/31/2016","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020161321001020010000012","1101001135000000000000020161321001020010000012","P.C Unit","    ","","Merk: HP / Slimeline 450-123D ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","15,840,000.00","15,840,000.00","Pengadaan APBD","12/31/2016","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020171321001020010000001","1101001135000000000000020171321001020010000001","P.C Unit","    ","","Merk: Lenovo / Aio V310z ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","13,921,600.00","13,921,600.00","Pengadaan APBD","12/31/2017","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020171321001020010000002","1101001135000000000000020171321001020010000002","P.C Unit","    ","","Merk: HP / All in one ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","15,510,000.00","15,510,000.00","Pengadaan APBD","12/31/2017","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020171321001020010000003","1101001135000000000000020171321001020010000003","P.C Unit","    ","","Merk: HP / All in one ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","15,510,000.00","15,510,000.00","Pengadaan APBD","12/31/2017","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020171321001020010000004","1101001135000000000000020171321001020010000004","P.C Unit","    ","","Merk: HP / All in one ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","15,510,000.00","15,510,000.00","Pengadaan APBD","12/31/2017","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020171321001020010000005","1101001135000000000000020171321001020010000005","P.C Unit","    ","","Merk: HP / All in one ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","15,510,000.00","15,510,000.00","Pengadaan APBD","12/31/2017","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020171321001020010000006","1101001135000000000000020171321001020010000006","P.C Unit","    ","","Merk: HP / All in one ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","15,510,000.00","15,510,000.00","Pengadaan APBD","12/31/2017","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020171321001020010000007","1101001135000000000000020171321001020010000007","P.C Unit","    ","","Merk: HP / All in one ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","15,510,000.00","15,510,000.00","Pengadaan APBD","12/31/2017","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020171321001020010000008","1101001135000000000000020171321001020010000008","P.C Unit","    ","","Merk: HP / All in one ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","15,510,000.00","15,510,000.00","Pengadaan APBD","12/31/2017","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020171321001020010000009","1101001135000000000000020171321001020010000009","P.C Unit","    ","","Merk: HP / All in one ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","15,510,000.00","15,510,000.00","Pengadaan APBD","12/31/2017","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Komputer Unit","Personal Komputer","P.C Unit","1101001135000000000000020171321001020010000010","1101001135000000000000020171321001020010000010","P.C Unit","    ","","Merk: HP / All in one ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","15,510,000.00","15,510,000.00","Pengadaan APBD","12/31/2017","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
