"Kategori ","Sub Kategori","Nama Barang","NIBAR"," Nomor Register","Spesifikasi Nama Barang","Spesifikasi Lainnya","","Merek","Tipe","Lokasi","Nomor Polisi","Nomor Rangka","Nomor Mesin","Nomor BPKB","Jumlah","Satuan","","Harga Satuan Perolehan Rp.","Nilai Perolehan Rp.","Cara Perolehan","Tanggal  Perolehan","Status Penggunaan","","Keterangan","","No. BAST","Pengguna","Bidang","Link","Masa berlaku Pajak","Masa berlaku STNK","Ket","Ket"
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020061320201020030000002","1101001135000000000000020061320201020030000002"," INNOVA G 2006","    ","","Toyota  ","KIJANG INNOVA G (TGN40R-GKMDK) ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1078 AI","MHFXW42G352057338","1TR6197459","8881265-A","1.00","unit","","127,227,000.00","127,227,000.00","Hibah","12/31/2006","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","UNDP","","09/BAST.K/I/2023 Tanggal 30-1- 2023","Pool","Pool",""," 29-4-2025"," 29-4-2027","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020071320201020030000004","1101001135000000000000020071320201020030000004","INNOVA G 2007","    ","","Toyota  ","KIJANG INNOVA G (TGN40R-GKMDK) ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 149 AB / BL 1069 AC","MHFXW42GX72084135","1TR6352236","08272023","1.00","unit","","133,800,000.00","133,800,000.00","Hibah","12/31/2007","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","UNFPA","","09/BAST.K/I/2023 Tanggal 30-1- 2023","Pool","Pool",""," 29-4-2025"," 29-4-2027","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020071320201020030000005","1101001135000000000000020071320201020030000005","INNOVA G 2007","    ","","Toyota  "," KIJANG INNOVA G (TGN40R-GKMDK) ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 217 J ","MHFXW4260721004991","","9561705-A","1.00","unit","","191,400,000.00","191,400,000.00","Hibah","12/31/2007","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","HIBAH BRR","","10/BAST.K/I/2023 Tanggal 30-1- 2023","Pool","P2K","","","","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020081320201020030000001","1101001135000000000000020081320201020030000001","TOYOTA RUSH 2008","    ","","Toyota  "," RUSH 1.5 S MT (F700RE-GMMFJ) ","Jln. Tgk. Mohd. Daud Beureueh No. 26  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 251 J / BL 1086 JC","MHFE2CJ3J8K013545","DBA5125","4587673-A","1.00","unit","","36,600,000.00","36,600,000.00","Pengadaan APBD","12/31/2008","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","SharingWISMP","","09/BAST.K/I/2023 Tanggal 30-1- 2023","Pool","Pool",""," 24-11-2024"," 24-11-2028","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020091320201020030000001","1101001135000000000000020091320201020030000001","INNOVA G 2009","    ","","Toyota  ","KIJANG INNOVA G (TGN40R-GKMDK) ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1069 AE","MHFXW42G792145833","1TR6812195","1754590-A","1.00","unit","","201,636,364.00","201,636,364.00","Hibah","12/31/2009","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","EDFF","","09/BAST.K/I/2023 Tanggal 30-1- 2023","Pool","Pool",""," 7-12-2024"," 7-12-2024","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020101320201020030000001","1101001135000000000000020101320201020030000001","ISUZU PANTHER 2010","    ","","Isuzu","PANTHER TBR 54F Turbo LM ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1037 AZ","MHCTBR54FAK303190","","00954226-A","1.00","unit","","189,477,500.00","189,477,500.00","Hibah","12/31/2010","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","EDFF","","10/BAST.K/I/2023 Tanggal 30-1- 2023","P2K","P2K","","","","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020121320201020030000001","1101001135000000000000020121320201020030000001","INNOVA 2012","    ","","Toyota  "," KIJANG INNOVA ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 15 AB / BL 1043 JA","MHFXW42G4C2226618","1TR7325075","05027998","1.00","unit","","258,950,000.00","258,950,000.00","Pengadaan APBD","12/31/2012","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Pemindahan catatan dari DPKA","","09/BAST.K/I/2023 Tanggal 30-1- 2023","Pool","Pool",""," 8-1-2025"," 8-1-2028","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020191320201020030000001","1101001135000000000000020191320201020030000001","INNOVA REBORN 2.0 G 2019","    ","","Toyota  ","Kijang Innova 2,0 G A/T (TGN14) ","Jln. Tgk. Mohd. Daud Beureueh No. 26  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1098 AS","MHFJW8EMOK2369739","1TRA617969","P-05430995","1.00","unit","","326,000,000.00","326,000,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Kendaraan Bermotor Roda 4","","06/BAST.K/I/2023 Tanggal 30-1-2023","Muhammad Ikhsan, ST, MT,  M.Eng","Program","BL 1098 AS'!A1"," 15-10-2024"," 15-10-2024","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020191320201020030000002","1101001135000000000000020191320201020030000002","INNOVA REBORN 2.0 G 2019","    ","","Toyota  ","Kijang Innova 2,0 G A/T (TGN14) ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1097 AS","MHFJW8EMXK2376004","1TRA681973","P-05426865","1.00","unit","","326,000,000.00","326,000,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Kendaraan Bermotor Roda 4",""," 19/BAST/VII/2024 Tanggal 16 Juli 2024","Elva Rahmi, MT","PEPD","BL 1097 AS'!A1"," 15-10-2024"," 15-10-2024","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020191320201020030000003","1101001135000000000000020191320201020030000003","INNOVA REBORN 2.4 V 2019","    ","","Toyota  ","Kijang Innova 2.4 V M/T (GUN14) ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1096 AS","MHFGB8EM9K0430748","2GDC585726","P-05430999","1.00","unit","","387,000,000.00","387,000,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Kendaraan Bermotor Roda 4","","18/BAST/VII/2024Tanggal  2 Juli 2024"," drh. Nurkhalis, MT, M.Si","Litbang","BL 1096 AS'!A1"," 15-10-2024"," 15-10-2024","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020191320201020030000004","1101001135000000000000020191320201020030000004","INNOVA REBORN 2.4 V 2019","Minibus, Warna Hitam Metalik, 2.393 CC, Solar","","Toyota  ","New Kijang Innova 2,4 V M/T Diesel Vin 2019 ","Jln. Tgk. Mohd. Daud Beureueh No. 26  Kel. Kota Baru Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1094 AS","MHFGB8EM3K0430521","2GDC581905","P-05430997","1.00","unit","","387,000,000.00","387,000,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Kendaraan Bermotor Roda 4","","04/BAST.K/I/2023 Tanggal 30-1-2023","Dedi Fahrian, ST, MT","P2IK","BL 1094 AS'!A1"," 15-10-2024"," 15-10-2024","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020191320201020030000005","1101001135000000000000020191320201020030000005","INNOVA REBORN 2.4 V 2019","Minibus, Warna Hitam Metalik, 2.393 CC, Solar","","Toyota  ","Kijang Innova 2.4 V M/T (GUN14) ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1095 AS","MHFGB8EM5K0430567","2GDC589533","P-05430998","1.00","unit","","387,000,000.00","387,000,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Kendaraan Bermotor Roda 4","","03/BAST.K/I/2023 Tanggal 30-1-2023","Reza Ferdian, SSTP, M.Si","P2ESDA","BL 1095 AS'!A1"," 15-10-2024"," 15-10-2024","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020191320201020030000006","1101001135000000000000020191320201020030000006","INNOVA REBORN 2.4 V 2019","Minibus, Warna Putih, 2.393 CC, Solar","","Toyota  ","Kijang Innova 2.4 V M/T (GUN14) ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1094 AO","MHFGB8EM5K0432593","2GDC581905","P-05478822","1.00","unit","","387,000,000.00","387,000,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Kendaraan Bermotor Roda 4","","05/BAST.K/I/2023 Tanggal 30-1-2023","Setiawaty, SKM, MPH","P2KPSDM",""," 27-2-2025"," 27-2-2025","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020191320201020030000007","1101001135000000000000020191320201020030000007","INNOVA Venturer 2019","Minibus, Warna Hitam Metalik, 1.998 CC, Premium","","Toyota  ","Kijang Innova 2,0 G A/T (TGN14) ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1099 AS","MHFAW8EM1K0213219","1TRA633548","P-05430996","1.00","unit","","419,000,000.00","419,000,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Kendaraan Bermotor Roda 4","","09/BAST.K/I/2023 Tanggal 30 -1-2023","Pool","Pool","BL 1099 AS'!A1"," 15-10-2024"," 15-10-2024","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020191320201020030000008","1101001135000000000000020191320201020030000008","Hilux Double Cabin 2,4 G 2019","Double Cabin, Warna Hitam Metalik, 2.393 CC, Solar","","Toyota  ","New Hilux Double Cabin 2,4 G (4x4) M/T Diesel Vin ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 8016 JA","MROKB8CD3K1209957","2GD0755060","P-05492430","1.00","unit","","424,000,000.00","424,000,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Kendaraan Bermotor Roda 4","","09/BAST.K/I/2023 Tanggal 30 -1-2023","Pool","Pool",""," 27-2-2025"," 27-2-2025","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020191320201020030000009","1101001135000000000000020191320201020030000009","HIACE 2019","Microbus, Warna Silver Metalik, 2.494 CC, Solar","","Toyota  ","HI ACE Commuter M/T (KDH222R) ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 7030 AD","JTFSS22P2K0186837","2KDB008785","P-05431034","1.00","unit","","471,000,000.00","471,000,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Kendaraan Bermotor Roda 4","","09/BAST.K/I/2023 Tanggal 30 -1-2023","Pool","Pool","BL 7030 AD'!A1"," 15-10-2024"," 15-10-2024","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020191320201020030000010","1101001135000000000000020191320201020030000010","Fortuner 2.4 VRZ 2019","Jeep, Warna Hitam Metalik, 2.393 CC, Solar","","Toyota  ","Fortuner 2.4 VRZ 4x4 A/T ","Jln. Tgk. Mohd. Daud Beureueh No. 26  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 30","MHFHB3FSXK0036406","2GDC662883","P-05478821","1.00","unit","","654,000,000.00","654,000,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Kendaraan Bermotor Roda 4","","01/BAST.K/I/2023 Tanggal 30-1-2023","DR. H.T. Ahmad Dadek, SH, MH","TU Pimpinan",""," 27-2-2025"," 27-2-2028","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020221320201020030000001","1101001135000000000000020221320201020030000001","Pajero Sport 2,4 L 2022","Jeep, Warna Hitam Mika, 2.442 CC, Solar","","Mitsubishi ","Pajero Sport 2,4 L Dakkar - L (4x2) 8 A/T Vin 2022 ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1054 AM","MK2KRWPNUNJ011029","4N15UJJ8880","T00647288","1.00","unit","","614,000,000.00","614,000,000.00","Pengadaan APBD","12/31/2022","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Minibus (Penumpang 14 orang kebawah)","","09/BAST.K/I/2023 Tanggal 30 -1-2023","Pool","Pool",""," 30-9-2024"," 30-9-2027","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Angkutan Barang","Pick Up","1101001135000000000000020061320201030020000001","1101001135000000000000020061320201030020000001","Kijang Pick Up 2006","Pick Up Warna Hitam, 1781 cc","","Toyota  "," Kijang Standard KF 60 ","Jln. Tgk. Mohd. Daud Beureueh No. 26  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 8055 AF","MHF31KF6060053544","7K0860487","6017467-A","1.00","unit","","97,900,000.00","97,900,000.00","Hibah","12/31/2006","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","BKRA","","09/BAST.K/I/2023 Tanggal 30 -1-2023","Pool","Pool","BL 8055 AF'!A1"," 31-5-2025"," 31-5-2028","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Angkutan Barang","Pick Up","1101001135000000000000020121320201030020000001","1101001135000000000000020121320201030020000001","Double Cabin Hilux 2012","Double Cabin Warna Hitam Metalik, 2.494 cc","","Toyota  ","HiLux 2.5 G DC (4x4) M/T Diesel (Double Cabin) ","Jln. Tgk. Mohd. Daud Beureueh No. 26  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 8062 AN","MROFR22G5C0616952","2KDS079946","00000831","1.00","unit","","410,750,000.00","410,750,000.00","Pengadaan APBD","12/31/2012","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Pemindahana catatan dari DPKA","","09/BAST.K/I/2023 Tanggal 30 -1-2023","Pool","Pool","BL 8062 AN'!A1"," 14-5-2025"," 14-5-2028","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020011320201040010000001","1101001135000000000000020011320201040010000001","Sepeda Motor","NF 100 , Warna Hitam, 100 cc, Bensin","","Honda","SUPRA ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2835 AH","MH1KEV151KOO1988","KEV7E1000239","0513912-A","1.00","unit","","12,000,000.00","12,000,000.00","Pengadaan APBD","12/31/2001","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","No. 01/BAST.K/I/2023 tanggal 30/01/2023","Syafrizal, S.Sos","Litbang",""," 9-11-2024"," 9-11-2027","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020051320201040010000001","1101001135000000000000020051320201040010000001","Sepeda Motor","FD125  XSD Warna Orange-Silver, 125 cc","","Suzuki","FD 125 XSD/SHOGUN 125 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2157 AV","MH8FD125X5J604971","F4031D605212","7300912-B","1.00","unit","","10,476,232.00","10,476,232.00","Hibah","12/31/2005","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","HIBAH BRR","","No. 02/BAST.K/I/2023 tanggal 30/01/2023","Iskandar, SE","Litbang","","Tidak Ada Nota Pajak","Tidak Ada STNK","BPKB nya ada","BPKB nya ada"
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Beroda Dua","Sepeda Motor","1101001135000000000000020051320201040010000002","1101001135000000000000020051320201040010000002","Sepeda Motor","FD 125 XSD, Warna Ubgu Hitam, 125 cc","","Suzuki","FD 125 XSD/SHOGUN 125 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","BL 2158 AV","MH8FD125XJ685205","F4031D605205","7301004-B","1.00","unit","","10,476,232.00","10,476,232.00","Hibah","12/31/2005","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","HIBAH BRR","","No. 45/BAST/VIII/2023 tanggal 14/08/2023","Kafrawi, SE","Keuangan","","Tidak Ada Nota Pajak","Tidak Ada STNK","BPKB nya tidak ada","BPKB nya tidak ada"
