"Kategori","Sub Kategori","Nama Barang","NIBAR"," Nomor Register","Spesifikasi Nama Barang","Spesifikasi Lainnya","","Merek/tipe","Lokasi","Nomor Polisi","Nomor Rangka","Nomor Mesin","Nomor BPKB","Jumlah","Satuan","","Harga Satuan Perolehan Rp.","Nilai Perolehan Rp.","Cara Perolehan","Tanggal  Perolehan","Status Penggunaan","","Keterangan","","No. BAST","Pengguna","Bidang","Link","Masa berlaku Pajak","Masa berlaku STNK","Ket"
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020061320201020030000002","1101001135000000000000020061320201020030000002"," INNOVA G 2006","    ","","Merk: TOYOTA / KIJANG INNOVA G (TGN40R-GKMDK) ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1078 AI","MHFXW42G352057338","1TR6197459","8881265-A","1.00","unit","","127,227,000.00","127,227,000.00","Hibah","12/31/2006","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","UNDP","","09/BAST.K/I/2023 Tanggal 30-1- 2023","Pool","Pool",""," 29-4-2025"," 29-4-2027",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020071320201020030000004","1101001135000000000000020071320201020030000004","INNOVA G 2007","    ","","Merk: TOYOTA / KIJANG INNOVA G (TGN40R-GKMDK) ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 149 AB / BL 1069 AC","MHFXW42GX72084135","1TR6352236","08272023","1.00","unit","","133,800,000.00","133,800,000.00","Hibah","12/31/2007","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","UNFPA","","09/BAST.K/I/2023 Tanggal 30-1- 2023","Pool","Pool",""," 29-4-2025"," 29-4-2027",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020071320201020030000005","1101001135000000000000020071320201020030000005","INNOVA G 2007","    ","","Merk: TOYOTA / KIJANG INNOVA G (TGN40R-GKMDK) ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 217 J ","MHFXW4260721004991","","9561705-A","1.00","unit","","191,400,000.00","191,400,000.00","Hibah","12/31/2007","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","HIBAH BRR","","10/BAST.K/I/2023 Tanggal 30-1- 2023","Pool","P2K","","","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020081320201020030000001","1101001135000000000000020081320201020030000001","TOYOTA RUSH 2008","    ","","Merk: TOYOTA / RUSH 1.5 S MT (F700RE-GMMFJ) ","Jln. Tgk. Mohd. Daud Beureueh No. 26  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 251 J / BL 1086 JC","MHFE2CJ3J8K013545","DBA5125","4587673-A","1.00","unit","","36,600,000.00","36,600,000.00","Pengadaan APBD","12/31/2008","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","SharingWISMP","","09/BAST.K/I/2023 Tanggal 30-1- 2023","Pool","Pool",""," 24-11-2024"," 24-11-2028",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020091320201020030000001","1101001135000000000000020091320201020030000001","INNOVA G 2009","    ","","Merk: TOYOTA / KIJANG INNOVA G (TGN40R-GKMDK) ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1069 AE","MHFXW42G792145833","1TR6812195","1754590-A","1.00","unit","","201,636,364.00","201,636,364.00","Hibah","12/31/2009","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","EDFF","","09/BAST.K/I/2023 Tanggal 30-1- 2023","Pool","Pool",""," 7-12-2024"," 7-12-2024",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020101320201020030000001","1101001135000000000000020101320201020030000001","ISUZU PANTHER 2010","    ","","Merk: ISUZU / PANTHER TBR 54F Turbo LM ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1037 AZ","MHCTBR54FAK303190","","00954226-A","1.00","unit","","189,477,500.00","189,477,500.00","Hibah","12/31/2010","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","EDFF","","10/BAST.K/I/2023 Tanggal 30-1- 2023","P2K","P2K","","","",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020121320201020030000001","1101001135000000000000020121320201020030000001","INNOVA 2012","    ","","Merk: TOYOTA / KIJANG INNOVA ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 15 AB / BL 1043 JA","MHFXW42G4C2226618","1TR7325075","05027998","1.00","unit","","258,950,000.00","258,950,000.00","Pengadaan APBD","12/31/2012","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Pemindahan catatan dari DPKA","","09/BAST.K/I/2023 Tanggal 30-1- 2023","Pool","Pool",""," 8-1-2025"," 8-1-2028",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020191320201020030000001","1101001135000000000000020191320201020030000001","INNOVA REBORN 2.0 G 2019","    ","","Merk: Toyota Kijang Innova 2,0 G A/T (TGN14) ","Jln. Tgk. Mohd. Daud Beureueh No. 26  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1098 AS","MHFJW8EMOK2369739","1TRA617969","P-05430995","1.00","unit","","326,000,000.00","326,000,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Kendaraan Bermotor Roda 4","","06/BAST.K/I/2023 Tanggal 30-1-2023","Muhammad Ikhsan, ST, MT,  M.Eng","Program","BL 1098 AS'!A1"," 15-10-2024"," 15-10-2024",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020191320201020030000002","1101001135000000000000020191320201020030000002","INNOVA REBORN 2.0 G 2019","    ","","Merk: Toyota Kijang Innova 2,0 G A/T (TGN14) ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1097 AS","MHFJW8EMXK2376004","1TRA681973","P-05426865","1.00","unit","","326,000,000.00","326,000,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Kendaraan Bermotor Roda 4",""," 19/BAST/VII/2024 Tanggal 16 Juli 2024","Elva Rahmi, MT","PEPD","BL 1097 AS'!A1"," 15-10-2024"," 15-10-2024",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020191320201020030000003","1101001135000000000000020191320201020030000003","INNOVA REBORN 2.4 V 2019","    ","","Merk: Toyota Kijang Innova 2.4 V M/T (GUN14) ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1096 AS","MHFGB8EM9K0430748","2GDC585726","P-05430999","1.00","unit","","387,000,000.00","387,000,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Kendaraan Bermotor Roda 4","","18/BAST/VII/2024Tanggal  2 Juli 2024"," drh. Nurkhalis, MT, M.Si","Litbang","BL 1096 AS'!A1"," 15-10-2024"," 15-10-2024",""
