"Kategori","Sub Kategori","Nama_Barang","NIBAR"," Nomor Register","Spesifikasi Nama Barang","Spesifikasi Lainnya","","Merek/tipe","Lokasi","Nomor Polisi","Nomor Rangka","Nomor Mesin","Nomor BPKB","Jumlah","Satuan","","Harga Satuan Perolehan Rp.","Nilai Perolehan Rp.","Cara Perolehan","Tanggal Perolehan","Status Penggunaan","","Keterangan","","No. BAST","Pengguna","Bidang","Link","Masa berlaku Pajak","Masa berlaku STNK","Ket"
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Lemari Kayu","1101001135000000000000020151320501040020000001","1101001135000000000000020151320501040020000001","Lemari Kayu","    ","","Merk: Tempahan ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","62,817,333.00","62,817,333.00","Pengadaan APBD","12/31/2015","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Lemari Kayu","1101001135000000000000020151320501040020000002","1101001135000000000000020151320501040020000002","Lemari Kayu","    ","","Merk: Tempahan ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","62,817,333.00","62,817,333.00","Pengadaan APBD","12/31/2015","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Lemari Kayu","1101001135000000000000020151320501040020000003","1101001135000000000000020151320501040020000003","Lemari Kayu","    ","","Merk: Tempahan ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","62,817,334.00","62,817,334.00","Pengadaan APBD","12/31/2015","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Lemari Kayu","1101001135000000000000020201320501040020000001","1101001135000000000000020201320501040020000001","Lemari Kayu","    ","","Merk: Tempahan ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","8,250,000.00","8,250,000.00","Pengadaan APBD","12/31/2020","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","lemari arsip","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Lemari Kayu","1101001135000000000000020201320501040020000002","1101001135000000000000020201320501040020000002","Lemari Kayu","    ","","Merk: Tempahan ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","8,250,000.00","8,250,000.00","Pengadaan APBD","12/31/2020","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","lemari arsip","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Lemari Kayu","1101001135000000000000020221320501040020000001","1101001135000000000000020221320501040020000001","Lemari Kayu","    ","","Merk: Ukuran Lemari Lebar = 1,3 m dan Tinggi = 3,16 m. Lapis luar HPL Tacco ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","13,588,500.00","13,588,500.00","Pengadaan APBD","12/31/2022","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Lemari Kayu","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Lemari Kayu","1101001135000000000000020221320501040020000002","1101001135000000000000020221320501040020000002","Lemari Kayu","    ","","Merk: Ukuran Nakas Lemari = 1,76 m dan Tinggi = 0,80 m. Lapis Luar HPL Tacco ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","5,080,000.00","5,080,000.00","Pengadaan APBD","12/31/2022","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Lemari Kayu","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Lemari Kayu","1101001135000000000000020221320501040020000003","1101001135000000000000020221320501040020000003","Lemari Kayu","    ","","Merk: Ukuran Nakas Lemari = 2,9 m dan Tinggi = 0,80 m. Lapis Luar HPL Tacco ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","8,370,000.00","8,370,000.00","Pengadaan APBD","12/31/2022","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Lemari Kayu","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Lemari Kayu","110111003500000000000020231320501040020000001","110111003500000000000020231320501040020000001","Lemari Kayu","Mikaboard 1 sisi 18mm HPL Taco ambalan dinding Panel polos","","Merk: Tempahan Tipe: Tempahan","-  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","","","","","1.00","unit","","37,084,000.00","37,084,000.00","Pengadaan APBD","11/6/2023","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Lemari Kayu","110111003500000000000020231320501040020000002","110111003500000000000020231320501040020000002","Lemari Kayu","Mikaboard 1 sisi 18mm HPL Taco  ","","Merk: Tempahan Tipe: Tempahan","-  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","","","","","1.00","unit","","12,339,100.00","12,339,100.00","Pengadaan APBD","11/6/2023","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Rak Besi","1101001135000000000000020081320501040030000001","1101001135000000000000020081320501040030000001","Rak Besi","    ","","Merk: Mustang/Pintu Kaca ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","5,875,000.00","5,875,000.00","Hibah","12/31/2008","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Hibah BRR sesuai dengan LHI. Thn 2011 No. LHI.012. BAPPEDA/ACEH/TLBRR/VIII/2011. PengadaanMeubelaiir Perpustakaan","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Rak Besi","1101001135000000000000020081320501040030000002","1101001135000000000000020081320501040030000002","Rak Besi","    ","","Merk: Mustang/Pintu Kaca ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","5,875,000.00","5,875,000.00","Hibah","12/31/2008","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Hibah BRR sesuai dengan LHI. Thn 2011 No. LHI.012. BAPPEDA/ACEH/TLBRR/VIII/2011. PengadaanMeubelaiir Perpustakaan","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Rak Besi","1101001135000000000000020081320501040030000003","1101001135000000000000020081320501040030000003","Rak Besi","    ","","Merk: Mustang/Pintu Kaca ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","5,875,000.00","5,875,000.00","Hibah","12/31/2008","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Hibah BRR sesuai dengan LHI. Thn 2011 No. LHI.012. BAPPEDA/ACEH/TLBRR/VIII/2011. PengadaanMeubelaiir Perpustakaan","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Rak Besi","1101001135000000000000020081320501040030000004","1101001135000000000000020081320501040030000004","Rak Besi","    ","","Merk: Mustang/Pintu Kaca ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","5,875,000.00","5,875,000.00","Hibah","12/31/2008","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Hibah BRR sesuai dengan LHI. Thn 2011 No. LHI.012. BAPPEDA/ACEH/TLBRR/VIII/2011. PengadaanMeubelaiir Perpustakaan","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Rak Besi","1101001135000000000000020221320501040030000001","1101001135000000000000020221320501040030000001","Rak Besi","    ","","Merk: Tempahan ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","2,000,000.00","2,000,000.00","Pengadaan APBD","12/31/2022","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Rak Besi","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Rak Kayu","1101001135000000000000020081320501040040000001","1101001135000000000000020081320501040040000001","Rak Kayu","    ","","Merk: Tempahan ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","1,000,000.00","1,000,000.00","Hibah","12/31/2008","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Hibah BRR sesuai dengan LHI. Thn 2011 No. LHI.012. BAPPEDA/ACEH/TLBRR/VIII/2011. PengadaanMeubelaiir Perpustakaan","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Rak Kayu","1101001135000000000000020081320501040040000002","1101001135000000000000020081320501040040000002","Rak Kayu","    ","","Merk: Tempahan ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","1,000,000.00","1,000,000.00","Hibah","12/31/2008","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Hibah BRR sesuai dengan LHI. Thn 2011 No. LHI.012. BAPPEDA/ACEH/TLBRR/VIII/2011. PengadaanMeubelaiir Perpustakaan","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Filing Cabinet Besi","1101001135000000000000020171320501040050000001","1101001135000000000000020171320501040050000001","Filing Cabinet Besi","    ","","Merk: Krisbow ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","3,000,000.00","3,000,000.00","Pengadaan APBD","12/31/2017","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Filing Cabinet Besi","1101001135000000000000020171320501040050000002","1101001135000000000000020171320501040050000002","Filing Cabinet Besi","    ","","Merk: Krisbow ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","3,000,000.00","3,000,000.00","Pengadaan APBD","12/31/2017","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Filing Cabinet Besi","1101001135000000000000020171320501040050000003","1101001135000000000000020171320501040050000003","Filing Cabinet Besi","    ","","Merk: Krisbow ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","3,000,000.00","3,000,000.00","Pengadaan APBD","12/31/2017","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Filing Cabinet Besi","1101001135000000000000020191320501040050000001","1101001135000000000000020191320501040050000001","Filing Cabinet Besi","    ","","Merk: Krisbow KW170019E File Cabinet Swing Biru 180x90xx39cm ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","3,400,000.00","3,400,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Lemari Filling Cabinet (Lemari Arsip)","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Filing Cabinet Besi","1101001135000000000000020191320501040050000002","1101001135000000000000020191320501040050000002","Filing Cabinet Besi","    ","","Merk: Krisbow KW170019E File Cabinet Swing Biru 180x90xx39cm ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","3,400,000.00","3,400,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Lemari Filling Cabinet (Lemari Arsip)","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Filing Cabinet Besi","1101001135000000000000020191320501040050000003","1101001135000000000000020191320501040050000003","Filing Cabinet Besi","    ","","Merk: Krisbow KW170019E File Cabinet Swing Biru 180x90xx39cm ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","3,400,000.00","3,400,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Lemari Filling Cabinet (Lemari Arsip)","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Filing Cabinet Besi","1101001135000000000000020191320501040050000004","1101001135000000000000020191320501040050000004","Filing Cabinet Besi","    ","","Merk: Krisbow KW170019E File Cabinet Swing Biru 180x90xx39cm ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","3,400,000.00","3,400,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Lemari Filling Cabinet (Lemari Arsip)","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Filing Cabinet Besi","1101001135000000000000020211320501040050000001","1101001135000000000000020211320501040050000001","Filing Cabinet Besi","    ","","Merk: Informa ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","5,400,000.00","5,400,000.00","Pengadaan APBD","12/31/2021","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Filing Cabinet Besi","1101001135000000000000020211320501040050000002","1101001135000000000000020211320501040050000002","Filing Cabinet Besi","    ","","Merk: Informa ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","5,400,000.00","5,400,000.00","Pengadaan APBD","12/31/2021","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Filing Cabinet Besi","1101001135000000000000020211320501040050000003","1101001135000000000000020211320501040050000003","Filing Cabinet Besi","    ","","Merk: Informa ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","5,400,000.00","5,400,000.00","Pengadaan APBD","12/31/2021","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Filing Cabinet Besi","1101001135000000000000020211320501040050000004","1101001135000000000000020211320501040050000004","Filing Cabinet Besi","    ","","Merk: Informa ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","5,400,000.00","5,400,000.00","Pengadaan APBD","12/31/2021","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Filing Cabinet Besi","1101001135000000000000020211320501040050000005","1101001135000000000000020211320501040050000005","Filing Cabinet Besi","    ","","Merk: Informa ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","5,400,000.00","5,400,000.00","Pengadaan APBD","12/31/2021","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Brandkas","1101001135000000000000020201320501040070000001","1101001135000000000000020201320501040070000001","Brandkas","    ","","Merk: Krisbow 10091298 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","5,450,000.00","5,450,000.00","Pengadaan APBD","12/31/2020","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Kantor Lainnya","CCTV - Camera Control Television System","1101001135000000000000020151320501050020000001","1101001135000000000000020151320501050020000001","CCTV - Camera Control Television System","    ","","Merk: TRIBRID DVR ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","34,760,000.00","34,760,000.00","Pengadaan APBD","12/31/2015","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","cctv(tanpa suara)","","","","","","","",""
"Alat Kantor","Alat Kantor Lainnya","CCTV - Camera Control Television System","1101001135000000000000020151320501050020000002","1101001135000000000000020151320501050020000002","CCTV - Camera Control Television System","    ","","Merk: TRIBRID DVR ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","49,225,000.00","49,225,000.00","Pengadaan APBD","12/31/2015","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","CCTV","","","","","","","",""
"Alat Kantor","Alat Kantor Lainnya","White Board","1102001135000000000000020081320501050050000001","1102001135000000000000020081320501050050000001","White Board","    ","","Merk: Tempahan ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","150,000.00","150,000.00","Hibah","12/31/2008","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","ADBETESP","","","","","","","",""
"Alat Kantor","Alat Kantor Lainnya","Alat Penghancur Kertas","1101001135000000000000020151320501050100000001","1101001135000000000000020151320501050100000001","Alat Penghancur Kertas","    ","","Merk: Shred-ET C270A ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","8,000,000.00","8,000,000.00","Pengadaan APBD","12/31/2015","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Kantor Lainnya","Alat Penghancur Kertas","1101001135000000000000020151320501050100000002","1101001135000000000000020151320501050100000002","Alat Penghancur Kertas","    ","","Merk: Shred-ET C270A ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","8,000,000.00","8,000,000.00","Pengadaan APBD","12/31/2015","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Kantor Lainnya","Alat Penghancur Kertas","1101001135000000000000020201320501050100000001","1101001135000000000000020201320501050100000001","Alat Penghancur Kertas","    ","","Merk: SECURE PS MAXI 3180 CC ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","15,575,000.00","15,575,000.00","Pengadaan APBD","12/31/2020","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Kantor Lainnya","Alat Penghancur Kertas","110111003500000000000020231320501050100000001","110111003500000000000020231320501050100000001","Mesin Penghancur Kertas","Croscut 4mm 35 L, Motor Capacity :390 watt 18 2x15 mm","","Merk: IDEAL Paper Shredder 2445 CC Tipe: Paper Shredder 2445 CC","-  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","","","","","1.00","unit","","14,100,000.00","14,100,000.00","Pengadaan APBD","10/23/2023","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Kantor Lainnya","Mesin Absensi","1101001135000000000000020121320501050120000001","1101001135000000000000020121320501050120000001","Mesin Absensi","    ","","Merk: Solution / X100C-paket :(Mesin sidik jari,PC Komputer dan Swi ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","29,700,000.00","29,700,000.00","Pengadaan APBD","12/31/2012","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
