"Kategori","Sub Kategori","Nama_Barang","NIBAR"," Nomor Register","Spesifikasi Nama Barang","Spesifikasi Lainnya","","Merek/tipe","Lokasi","Nomor Polisi","Nomor Rangka","Nomor Mesin","Nomor BPKB","Jumlah","Satuan","","Harga Satuan Perolehan Rp.","Nilai Perolehan Rp.","Cara Perolehan","Tanggal Perolehan","Status Penggunaan","","Keterangan","","No. BAST","Pengguna","Bidang","Link","Masa berlaku Pajak","Masa berlaku STNK","Ket"
"Alat Studio","Peralatan Studio Audio","Uninterruptible Power Supply (UPS)","1101001135000000000000020061320601010480000004","1101001135000000000000020061320601010480000004","Uninterruptible Power Supply (UPS)","    ","","Merk: 30 A ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","1,000,000.00","1,000,000.00","Hibah","12/31/2006","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Hibah BRR sesuai dengan LHI. Thn 2011 No. LHI.012. BAPPEDA/ACEH/TLBRR/VIII/2011","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Uninterruptible Power Supply (UPS)","1101001135000000000000020061320601010480000005","1101001135000000000000020061320601010480000005","Uninterruptible Power Supply (UPS)","    ","","Merk: 30 A ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","1,000,000.00","1,000,000.00","Hibah","12/31/2006","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Hibah BRR sesuai dengan LHI. Thn 2011 No. LHI.012. BAPPEDA/ACEH/TLBRR/VIII/2011","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Chairman/Audio Conference","1101001135000000000000020161320601010640000001","1101001135000000000000020161320601010640000001","Chairman/Audio Conference","    ","","Merk: Bosch ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","9,597,000.00","9,597,000.00","Pengadaan APBD","12/31/2016","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Digital Audio Taperecorder","1101001135000000000000020121320601010750000001","1101001135000000000000020121320601010750000001","Digital Audio Taperecorder","    ","","Merk: Sony / ICD-UX523F (Voice Recorder) ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","24,800,000.00","24,800,000.00","Pengadaan APBD","12/31/2012","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Voice Recorder","1101001135000000000000020171320601010870000001","1101001135000000000000020171320601010870000001","Voice Recorder","    ","","Merk: Sony / ICD PX440 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","1,045,000.00","1,045,000.00","Pengadaan APBD","12/31/2017","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Voice Recorder","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Voice Recorder","1101001135000000000000020171320601010870000002","1101001135000000000000020171320601010870000002","Voice Recorder","    ","","Merk: Sony / ICD PX333 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","1,045,000.00","1,045,000.00","Pengadaan APBD","12/31/2017","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Voice Recorder","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Voice Recorder","1101001135000000000000020171320601010870000003","1101001135000000000000020171320601010870000003","Voice Recorder","    ","","Merk: Sony / UX560F ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","1,980,000.00","1,980,000.00","Pengadaan APBD","12/31/2017","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Voice Recorder","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Voice Recorder","1101001135000000000000020171320601010870000004","1101001135000000000000020171320601010870000004","Voice Recorder","    ","","Merk: Sony / UX560F ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","1,980,000.00","1,980,000.00","Pengadaan APBD","12/31/2017","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Voice Recorder","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Voice Recorder","1101001135000000000000020191320601010870000001","1101001135000000000000020191320601010870000001","Voice Recorder","    ","","Merk: Sony ICD-UX560 Digital Voice Recorderwith Built-in USB-Black ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","2,200,000.00","2,200,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Voice Recorder","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Voice Recorder","1101001135000000000000020191320601010870000002","1101001135000000000000020191320601010870000002","Voice Recorder","    ","","Merk: Sony ICD-UX560 Digital Voice Recorderwith Built-in USB-Black ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","2,200,000.00","2,200,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Voice Recorder","1101001135000000000000020191320601010870000003","1101001135000000000000020191320601010870000003","Voice Recorder","    ","","Merk: Sony ICD-UX560 Digital Voice Recorderwith Built-in USB-Black ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","2,200,000.00","2,200,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Voice Recorder","1101001135000000000000020221320601010870000001","1101001135000000000000020221320601010870000001","Voice Recorder","    ","","Merk: Voice Recorder ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","1,550,000.00","1,550,000.00","Pengadaan APBD","12/31/2022","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Voice Recorder","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Digital LED Running Text","1101001135000000000000020211320601010900000001","1101001135000000000000020211320601010900000001","Digital LED Running Text","    ","","Merk: Tempahan ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","198,550,000.00","198,550,000.00","Pengadaan APBD","12/31/2021","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Digital LED Running Text","1101001135000000000000020221320601010900000001","1101001135000000000000020221320601010900000001","Digital LED Running Text","    ","","Merk: Videotron Indoor P2.5 (Qiangli Jucai, Q2.5-Pro) ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","176,400,000.00","176,400,000.00","Pengadaan APBD","12/31/2022","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Digital LED Running Taxt","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Digital LED Running Text","1101001135000000000000020221320601010900000002","1101001135000000000000020221320601010900000002","Digital LED Running Text","    ","","Merk: Videotron Indoor P2.5 (Qiangli Jucai, Q2.5-Pro) ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","294,000,000.00","294,000,000.00","Pengadaan APBD","12/31/2022","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Digital LED Running Taxt","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Peralatan Studio Audio Lainnya","1101001135000000000000020171320601010990000001","1101001135000000000000020171320601010990000001","Peralatan Studio Audio Lainnya","    ","","Merk: Replay Mini Plus / Gen 2 (30pad) ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","79,640,000.00","79,640,000.00","Pengadaan APBD","12/31/2017","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Audience Response System","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Camera Digital","110111003500000000000020231320601011020000001","110111003500000000000020231320601011020000001","Kamera","5184x3888 3.2 sentuh f/2.8 hingga f/22 Pelindung Sirkuit Pemotretan dan Kelebihan beban","","Merk: Panasonic  Lumix DC -GH5 Kit Panasonic Lumix G X Vario 35-100mm f/2.8 II Power O.I.S Tipe: Lumix DC -GH5 Kit Panasonic Lumix G X Vario 35-100mm f/2.8 II Power O.I.S","-  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","","","","","1.00","unit","","47,345,000.00","47,345,000.00","Pengadaan APBD","8/21/2023","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","89/BAST/X/2023 Tanggal  25-10-2023","Chandra Irani, SP, MM","Humas","","","",""
