"Kategori","Sub Kategori","Nama_Barang","NIBAR"," Nomor Register","Spesifikasi Nama Barang","Spesifikasi Lainnya","","Merek/tipe","Lokasi","Nomor Polisi","Nomor Rangka","Nomor Mesin","Nomor BPKB","Jumlah","Satuan","","Harga Satuan Perolehan Rp.","Nilai Perolehan Rp.","Cara Perolehan","Tanggal Perolehan","Status Penggunaan","","Keterangan","","No. BAST","Pengguna","Bidang","Link","Masa berlaku Pajak","Masa berlaku STNK","Ket"
"Alat Bantu","Feeder","Elevator /Lift","1101001135000000000000020031320103020010000001","1101001135000000000000020031320103020010000001","Elevator /Lift","    ","","Merk: HANDOCK ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","524,500,000.00","524,500,000.00","Pengadaan APBD","12/31/2003","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Bantu","Pompa","Stationary Water Pump","1101001135000000000000020191320103050030000001","1101001135000000000000020191320103050030000001","Stationary Water Pump","    ","","Merk: Shimizu PC -503 Bit ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","4,455,000.00","4,455,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Pompa Air","","","","","","","",""
"Alat Bantu","Pompa","Stationary Water Pump","1101001135000000000000020191320103050030000002","1101001135000000000000020191320103050030000002","Stationary Water Pump","    ","","Merk: Shimizu PC -503 Bit ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","4,455,000.00","4,455,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Pompa Air","","","","","","","",""
"Alat Bantu","Pompa","Stationary Water Pump","1101001135000000000000020191320103050030000003","1101001135000000000000020191320103050030000003","Stationary Water Pump","    ","","Merk: Shimizu PC -503 Bit ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","4,455,000.00","4,455,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Pompa Air","","","","","","","",""
"Alat Bantu","Pompa","Stationary Water Pump","1101001135000000000000020191320103050030000004","1101001135000000000000020191320103050030000004","Stationary Water Pump","    ","","Merk: Shimizu PC -503 Bit ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","4,455,000.00","4,455,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Pompa Air","","","","","","","",""
