"Kategori","Sub Kategori","Nama Barang","NIBAR"," Nomor Register","Spesifikasi Nama Barang","Spesifikasi Lainnya","","Merek/tipe","Lokasi","Nomor Polisi","Nomor Rangka","Nomor Mesin","Nomor BPKB","Jumlah","Satuan","","Harga Satuan Perolehan Rp.","Nilai Perolehan Rp.","Cara Perolehan","Tanggal  Perolehan","Status Penggunaan","","Keterangan","","No. BAST","Pengguna","Bidang","Link","Masa berlaku Pajak","Masa berlaku STNK","Ket"
"Peralatan Olah Raga","Peralatan Senam","Treadmill","1101001135000000000000020161321901030100000001","1101001135000000000000020161321901030100000001","Treadmill","    ","","Merk: F1 Dual BH ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","41,300,000.00","41,300,000.00","Pengadaan APBD","12/31/2016","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Tread Mill","","","","","","","",""
"Peralatan Olah Raga","Peralatan Senam","Treadmill","1101001135000000000000020161321901030100000002","1101001135000000000000020161321901030100000002","Treadmill","    ","","Merk: F1 Dual BH ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","41,300,000.00","41,300,000.00","Pengadaan APBD","12/31/2016","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Tread Mill","","","","","","","",""
"Peralatan Olah Raga","Peralatan Senam","Sit Up Board","1101001135000000000000020191321901030130000001","1101001135000000000000020191321901030130000001","Sit Up Board","    ","","Merk: Ace Hardware (Berwyn) ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","2,350,000.00","2,350,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Peralatan Olah Raga","Peralatan Senam","Sit Up Board","1101001135000000000000020191321901030130000002","1101001135000000000000020191321901030130000002","Sit Up Board","    ","","Merk: Ace Hardware (Berwyn) ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","2,350,000.00","2,350,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Peralatan Olah Raga","Peralatan Olah Raga Lainnya","Sepeda Olah Raga","1101001135000000000000020161321901060030000001","1101001135000000000000020161321901060030000001","Sepeda Olah Raga","    ","","Merk: Artic Dual BH ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","16,850,000.00","16,850,000.00","Pengadaan APBD","12/31/2016","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Sepeda Statis","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
